SampleID,  process,                                                       xsectioninpb,  filtereff,   kfactor,        uncertup,  uncertdown,  generator
301000,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_120M180,                 17.477,        1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301001,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_180M250,                 2.9215,        1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301002,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_250M400,                 1.0819,        1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301003,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_400M600,                 0.19551,       1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301004,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_600M800,                 0.037403,      1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301005,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_800M1000,                0.010607,      1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301006,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1000M1250,               0.0042586,     1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301007,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1250M1500,               0.001422,      1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301008,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1500M1750,               0.00054526,    1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
301009,    PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1750M2000,               0.00022993,    1.0000E+00,  1.0,            0.0,       0.0,         Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp
